Id2,commuting,median_income,Total population,62andover,white,black,native_am,Asian,pacific_islander,latinx
48453000101,2351,101944,4263,817,3963,26,14,70,0,397
48453000102,1270,157563,2640,703,2422,87,0,47,0,127
48453000203,800,54777,1594,93,1192,107,0,139,0,299
48453000204,1781,56972,3060,471,2634,37,0,142,0,437
48453000205,2841,67589,3937,381,3109,160,26,361,41,686
48453000206,2218,80781,3292,418,2816,171,0,104,0,425
48453000302,3311,55120,4964,437,3957,210,50,370,17,589
48453000304,2062,53644,3029,219,2718,22,0,190,0,496
48453000305,2463,52766,3666,272,3235,89,0,103,0,489
48453000306,3038,73875,4869,468,3666,519,0,430,0,1074
48453000307,1224,68214,1786,247,1583,58,0,45,0,309
48453000401,2542,68850,4087,273,3363,122,0,274,0,618
48453000402,2159,53796,3400,559,2316,737,0,95,29,450
48453000500,2662,38750,4486,226,3738,36,14,443,0,538
48453000601,2635,15938,10147,20,7344,1543,33,785,9,2088
48453000603,3212,10035,8045,27,5329,577,0,1644,0,1469
48453000604,1944,8975,7140,39,4810,243,66,1693,0,1041
48453000700,733,61685,1123,201,902,20,21,70,0,243
48453000801,816,43417,1877,566,1504,164,0,0,0,1096
48453000802,1630,40579,3377,328,2013,1278,0,12,0,1151
48453000803,1716,83387,2489,146,1927,349,8,52,0,339
48453000804,1244,38711,2452,230,1677,500,0,46,0,1060
48453000901,1553,77845,2424,167,1801,332,0,112,0,900
48453000902,3019,46969,5473,718,4343,289,9,111,0,3407
48453001000,2096,64643,3770,788,2734,109,23,86,0,2132
48453001100,4544,131944,6001,976,5188,313,0,401,0,882
48453001200,3607,71190,4972,619,4318,70,34,436,18,378
48453001303,2680,82087,4029,434,3716,41,11,215,0,465
48453001304,2872,86458,4351,321,4046,27,0,103,0,832
48453001305,3748,64602,5681,680,5084,308,40,46,0,1073
48453001307,2288,52162,3775,452,3141,316,0,201,0,1217
48453001308,2239,60185,2926,259,2677,87,8,89,0,1001
48453001401,2339,77542,3360,392,2926,80,63,128,0,414
48453001402,1735,67237,2617,296,2466,23,0,0,0,343
48453001403,1027,41860,1723,210,1436,84,80,54,0,624
48453001501,2850,101250,5413,971,5188,40,0,80,0,247
48453001503,2723,51810,3989,395,3257,147,26,144,0,1246
48453001504,3612,87832,5371,595,4438,132,27,284,0,925
48453001505,2843,57865,4342,476,3965,24,0,81,0,413
48453001602,2413,75625,3277,239,2165,21,0,1039,0,264
48453001603,2453,141705,5075,701,4739,17,0,120,0,286
48453001604,2029,151042,4124,969,4071,0,0,15,0,186
48453001605,2637,89798,4041,605,3844,11,0,92,0,385
48453001606,12,-,17,0,12,1,4,0,0,3
48453001705,2418,109618,4900,1064,4410,45,15,356,20,395
48453001706,2324,85506,3641,865,3200,198,8,121,0,518
48453001707,2709,72982,5061,1276,4412,180,0,125,0,1011
48453001712,2335,59688,4945,937,4453,321,22,28,0,1792
48453001713,2673,62523,4448,636,3579,178,23,101,0,1547
48453001714,8885,88951,15804,1789,10291,1081,0,3525,0,1933
48453001716,3646,88482,6312,869,4847,440,27,445,0,802
48453001718,3538,77045,6176,1261,5183,170,0,564,0,768
48453001719,1992,158456,4149,1114,3583,0,0,309,0,353
48453001722,2513,53605,3746,476,3004,239,0,347,0,542
48453001728,4554,77722,7403,1174,6223,336,24,233,10,2114
48453001729,3008,65461,4650,672,4096,26,0,354,0,1476
48453001733,2028,121301,4158,889,3653,90,0,197,0,628
48453001737,5729,109554,10754,1373,9307,288,0,845,0,1853
48453001738,3809,96875,6839,1124,6193,66,0,191,0,1155
48453001740,3135,90855,5172,646,4157,130,17,543,0,1080
48453001741,1573,110260,2887,644,2636,23,0,109,0,330
48453001742,2819,69974,6075,1272,5616,61,0,187,0,1663
48453001745,1106,92716,2328,525,1982,111,0,93,0,287
48453001746,2584,76667,4244,575,3656,183,18,281,0,1079
48453001747,3024,57594,5743,689,4673,512,67,151,6,2009
48453001748,4006,80593,6880,697,5946,222,0,331,0,2179
48453001749,3895,82054,6507,796,4480,274,12,1593,0,1010
48453001750,3175,67130,5115,555,4243,70,0,545,0,1859
48453001751,944,105893,2164,759,1970,117,0,12,0,153
48453001752,2401,35365,3926,136,2471,158,67,974,0,577
48453001753,803,65417,1114,44,725,60,0,270,0,205
48453001754,3038,72516,5037,826,4534,170,0,182,0,745
48453001755,2956,172250,6214,1062,3913,21,33,2085,0,652
48453001756,2544,105256,4413,730,3489,177,0,406,0,431
48453001757,1139,91776,2211,665,1935,56,0,165,0,344
48453001760,7744,140882,17819,2066,15239,120,0,2056,0,1906
48453001761,3942,110262,7350,1050,6403,76,0,414,0,808
48453001764,3317,115357,7346,1720,6967,67,0,57,22,893
48453001765,7109,132446,14723,1586,12862,146,38,803,0,2054
48453001766,3845,85789,8232,1387,7891,45,80,100,0,1321
48453001768,4520,116483,9182,1294,8419,64,14,470,0,911
48453001769,3171,109063,5691,969,5129,29,42,305,6,1051
48453001770,5770,143040,12934,1512,10919,107,0,1331,0,1796
48453001771,2082,132589,4289,1281,3896,116,27,148,0,586
48453001772,2579,80565,4389,532,3669,118,0,241,0,1944
48453001773,3815,122372,8185,1767,6925,173,0,785,0,695
48453001774,4410,107978,8225,881,6419,834,0,510,0,2321
48453001775,3552,153643,6993,880,5773,199,10,706,5,1229
48453001776,1876,79487,3268,456,2510,321,36,94,0,783
48453001777,3912,86683,6270,761,5254,305,20,297,0,1822
48453001778,2145,99720,4401,1136,4237,31,18,26,0,300
48453001779,3116,71806,6244,1692,5760,176,37,69,0,595
48453001780,1978,79429,4152,1115,3856,52,4,15,0,588
48453001781,1007,112438,2491,742,1980,0,29,442,5,173
48453001782,2457,126979,5402,1018,3214,67,9,1746,0,418
48453001783,2660,124688,5406,746,4807,0,0,282,9,520
48453001784,2825,141071,6007,470,4769,18,8,1022,0,440
48453001785,3106,66029,4946,463,3274,311,0,1026,0,1014
48453001786,3160,66175,5283,281,3051,70,93,1664,0,596
48453001804,3751,43970,6970,513,3791,495,0,122,0,4347
48453001805,2923,33594,4911,317,2216,298,0,176,0,3304
48453001806,3774,34176,7137,417,4525,622,224,0,15,5102
48453001811,1781,35787,3626,478,1899,481,149,29,0,2298
48453001812,4163,30461,7920,581,5406,793,12,250,0,5468
48453001813,3685,34918,7236,466,4101,954,59,274,0,4871
48453001817,2720,57325,3982,696,3347,0,0,165,0,570
48453001818,2912,54176,6166,602,3417,121,0,193,0,3834
48453001819,1949,34583,4193,255,2597,174,45,290,0,2572
48453001820,3888,35090,7425,523,4180,786,37,126,0,5109
48453001821,3053,56196,5988,644,4107,575,25,133,0,3431
48453001822,3928,38250,7167,604,4778,345,34,64,0,5130
48453001823,3662,37163,7492,371,3609,1176,0,164,15,5202
48453001824,1103,73419,1704,310,1233,93,9,199,0,356
48453001826,1488,61166,2622,335,1422,303,27,467,0,590
48453001828,2240,94815,4134,687,3560,98,51,178,0,496
48453001829,1631,51298,2428,224,1949,78,0,218,0,378
